Usuario,TimeStamp,angry,disgust,fear,happy,sad,surprise,neutral,Dominant_Emotion
tester_app1,2026-03-08 09:18:27.980,0.02,0.0,0.02,0.0,0.02,0.0,0.94,neutral
tester_app1,2026-03-08 09:18:28.018,0.04,0.0,0.06,0.01,0.02,0.01,0.85,neutral
tester_app1,2026-03-08 09:18:28.059,0.03,0.0,0.03,0.0,0.03,0.0,0.91,neutral
tester_app1,2026-03-08 09:18:28.097,0.02,0.0,0.04,0.0,0.03,0.01,0.9,neutral
tester_app1,2026-03-08 09:18:28.135,0.07,0.0,0.09,0.0,0.04,0.03,0.76,neutral
tester_app1,2026-03-08 09:18:28.172,0.02,0.0,0.03,0.0,0.01,0.01,0.93,neutral
tester_app1,2026-03-08 09:18:28.211,0.04,0.0,0.09,0.0,0.03,0.03,0.8,neutral
tester_app1,2026-03-08 09:18:28.251,0.04,0.0,0.04,0.0,0.02,0.01,0.88,neutral
tester_app1,2026-03-08 09:18:28.294,0.02,0.0,0.03,0.0,0.01,0.01,0.93,neutral
tester_app1,2026-03-08 09:18:28.342,0.0,0.0,0.01,0.39,0.01,0.0,0.59,neutral
tester_app1,2026-03-08 09:18:28.385,0.0,0.0,0.0,0.91,0.0,0.0,0.09,happy
tester_app1,2026-03-08 09:18:28.428,0.01,0.0,0.0,0.59,0.03,0.0,0.37,happy
tester_app1,2026-03-08 09:18:28.471,0.01,0.0,0.01,0.49,0.03,0.01,0.45,happy
tester_app1,2026-03-08 09:18:28.514,0.01,0.0,0.01,0.54,0.05,0.0,0.38,happy
tester_app1,2026-03-08 09:18:28.561,0.01,0.0,0.02,0.59,0.09,0.02,0.27,happy
tester_app1,2026-03-08 09:18:28.607,0.01,0.0,0.02,0.6,0.07,0.02,0.29,happy
tester_app1,2026-03-08 09:18:28.651,0.0,0.0,0.0,0.78,0.02,0.0,0.19,happy
tester_app1,2026-03-08 09:18:28.695,0.01,0.0,0.02,0.43,0.11,0.01,0.41,happy
tester_app1,2026-03-08 09:18:28.734,0.0,0.0,0.0,0.77,0.02,0.01,0.19,happy
tester_app1,2026-03-08 09:18:28.770,0.0,0.0,0.0,0.87,0.03,0.01,0.08,happy
tester_app1,2026-03-08 09:18:28.811,0.02,0.0,0.02,0.52,0.18,0.02,0.25,happy
