Usuario,TimeStamp,Emocion,Confianza_en_prediccion
diego,2026-03-07 18:50:49.350,neutral,0.69
diego,2026-03-07 18:50:49.385,neutral,0.76
diego,2026-03-07 18:50:49.419,neutral,0.82
diego,2026-03-07 18:50:49.452,neutral,0.78
diego,2026-03-07 18:50:49.485,neutral,0.59
diego,2026-03-07 18:50:49.517,neutral,0.81
diego,2026-03-07 18:50:49.551,neutral,0.73
diego,2026-03-07 18:50:49.584,surprise,0.69
diego,2026-03-07 18:50:49.617,surprise,0.62
diego,2026-03-07 18:50:49.651,surprise,0.72
diego,2026-03-07 18:50:49.685,surprise,0.72
diego,2026-03-07 18:50:49.719,surprise,0.84
diego,2026-03-07 18:50:49.752,surprise,0.76
diego,2026-03-07 18:50:49.785,surprise,0.6
diego,2026-03-07 18:50:49.820,surprise,0.58
diego,2026-03-07 18:50:49.853,surprise,0.76
diego,2026-03-07 18:50:49.886,angry,0.58
diego,2026-03-07 18:50:49.919,surprise,0.62
diego,2026-03-07 18:50:49.953,angry,0.43
diego,2026-03-07 18:50:49.986,surprise,0.61
diego,2026-03-07 18:50:50.023,surprise,0.52
diego,2026-03-07 18:50:50.058,surprise,0.64
diego,2026-03-07 18:50:50.093,angry,0.48
diego,2026-03-07 18:50:50.128,angry,0.48
diego,2026-03-07 18:50:50.162,neutral,0.38
diego,2026-03-07 18:50:50.196,angry,0.38
diego,2026-03-07 18:50:50.231,angry,0.34
diego,2026-03-07 18:50:50.266,neutral,0.47
diego,2026-03-07 18:50:50.303,neutral,0.51
diego,2026-03-07 18:50:50.339,neutral,0.58
diego,2026-03-07 18:50:50.377,neutral,0.64
diego,2026-03-07 18:50:50.415,angry,0.35
diego,2026-03-07 18:50:50.450,neutral,0.37
diego,2026-03-07 18:50:50.485,surprise,0.29
diego,2026-03-07 18:50:50.519,surprise,0.38
diego,2026-03-07 18:50:50.554,happy,0.37
diego,2026-03-07 18:50:50.587,happy,0.67
diego,2026-03-07 18:50:50.623,happy,0.93
diego,2026-03-07 18:50:50.660,happy,0.65
diego,2026-03-07 18:50:50.693,happy,0.71
diego,2026-03-07 18:50:50.727,happy,0.59
diego,2026-03-07 18:50:50.760,happy,0.65
diego,2026-03-07 18:50:50.795,happy,0.64
diego,2026-03-07 18:50:50.830,happy,0.87
diego,2026-03-07 18:50:50.865,happy,0.75
diego,2026-03-07 18:50:50.898,happy,0.76
diego,2026-03-07 18:50:50.932,happy,0.74
diego,2026-03-07 18:50:50.965,happy,0.67
diego,2026-03-07 18:50:50.999,happy,0.85
diego,2026-03-07 18:50:51.032,happy,0.87
diego,2026-03-07 18:50:51.066,happy,0.69
diego,2026-03-07 18:50:51.099,happy,0.67
diego,2026-03-07 18:50:51.133,happy,0.62
diego,2026-03-07 18:50:51.169,happy,0.94
diego,2026-03-07 18:50:51.203,neutral,0.48
diego,2026-03-07 18:50:51.239,neutral,0.64
diego,2026-03-07 18:50:51.273,neutral,0.8
diego,2026-03-07 18:50:51.314,neutral,0.89
diego,2026-03-07 18:50:51.357,neutral,0.77
diego,2026-03-07 18:50:51.391,neutral,0.79
diego,2026-03-07 18:50:51.426,neutral,0.83
diego,2026-03-07 18:50:51.465,neutral,0.81
diego,2026-03-07 18:50:51.499,neutral,0.61
diego,2026-03-07 18:50:51.531,neutral,0.77
diego,2026-03-07 18:50:51.570,neutral,0.81
diego,2026-03-07 18:50:51.606,neutral,0.76
diego,2026-03-07 18:50:51.639,neutral,0.76
diego,2026-03-07 18:50:51.677,neutral,0.71
diego,2026-03-07 18:50:51.710,neutral,0.7
diego,2026-03-07 18:50:51.743,neutral,0.74
diego,2026-03-07 18:50:51.777,neutral,0.71
diego,2026-03-07 18:50:51.810,neutral,0.74
diego,2026-03-07 18:50:51.844,neutral,0.76
diego,2026-03-07 18:50:51.876,neutral,0.77
diego,2026-03-07 18:50:51.912,neutral,0.79
diego,2026-03-07 18:50:51.946,neutral,0.84
diego,2026-03-07 18:50:51.980,neutral,0.66
diego,2026-03-07 18:50:52.013,neutral,0.78
diego,2026-03-07 18:50:52.046,neutral,0.62
diego,2026-03-07 18:50:52.079,neutral,0.54
diego,2026-03-07 18:50:52.114,surprise,0.65
diego,2026-03-07 18:50:52.148,surprise,0.61
diego,2026-03-07 18:50:52.182,angry,0.5
diego,2026-03-07 18:50:52.217,angry,0.56
diego,2026-03-07 18:50:52.254,surprise,0.66
diego,2026-03-07 18:50:52.290,angry,0.64
diego,2026-03-07 18:50:52.325,angry,0.58
diego,2026-03-07 18:50:52.360,angry,0.52
diego,2026-03-07 18:50:52.396,angry,0.62
diego,2026-03-07 18:50:52.431,angry,0.92
diego,2026-03-07 18:50:52.468,angry,0.63
diego,2026-03-07 18:50:52.511,angry,0.61
diego,2026-03-07 18:50:52.556,surprise,0.64
diego,2026-03-07 18:50:52.599,surprise,0.45
diego,2026-03-07 18:50:52.632,neutral,0.55
diego,2026-03-07 18:50:52.665,neutral,0.74
diego,2026-03-07 18:50:52.699,neutral,0.66
diego,2026-03-07 18:50:52.732,neutral,0.78
diego,2026-03-07 18:50:52.766,neutral,0.77
diego,2026-03-07 18:50:52.799,neutral,0.83
diego,2026-03-07 18:50:52.833,neutral,0.71
diego,2026-03-07 18:50:52.866,neutral,0.66
diego,2026-03-07 18:50:52.901,neutral,0.71
diego,2026-03-07 18:50:52.934,neutral,0.8
diego,2026-03-07 18:50:52.969,neutral,0.73
diego,2026-03-07 18:50:53.003,neutral,0.86
diego,2026-03-07 18:50:53.038,neutral,0.86
diego,2026-03-07 18:50:53.072,neutral,0.94
diego,2026-03-07 18:50:53.107,neutral,0.83
