Usuario,TimeStamp,Emocion,Confianza_en_prediccion
t1,2026-03-07 22:45:53.527,neutral,0.61
t1,2026-03-07 22:45:53.589,neutral,0.63
t1,2026-03-07 22:45:53.654,neutral,0.49
t1,2026-03-07 22:45:53.725,neutral,0.47
t1,2026-03-07 22:45:53.788,neutral,0.79
t1,2026-03-07 22:45:53.850,neutral,0.51
t1,2026-03-07 22:45:53.913,neutral,0.48
t1,2026-03-07 22:45:53.992,sad,0.44
t1,2026-03-07 22:45:54.068,neutral,0.51
t1,2026-03-07 22:45:54.141,neutral,0.59
t1,2026-03-07 22:45:54.290,neutral,0.41
t1,2026-03-07 22:45:54.361,sad,0.48
t1,2026-03-07 22:45:54.361,sad,0.35
t1,2026-03-07 22:45:54.426,sad,0.45
t1,2026-03-07 22:45:54.490,neutral,0.51
t1,2026-03-07 22:45:54.557,sad,0.5
t1,2026-03-07 22:45:54.615,neutral,0.44
t1,2026-03-07 22:45:54.672,sad,0.39
t1,2026-03-07 22:45:54.728,sad,0.49
t1,2026-03-07 22:45:54.781,sad,0.38
t1,2026-03-07 22:45:54.833,sad,0.3
t1,2026-03-07 22:45:54.945,neutral,0.43
t1,2026-03-07 22:45:55.001,sad,0.64
t1,2026-03-07 22:45:55.056,sad,0.57
t1,2026-03-07 22:45:55.114,neutral,0.54
t1,2026-03-07 22:45:55.169,fear,0.4
t1,2026-03-07 22:45:55.221,sad,0.42
t1,2026-03-07 22:45:55.274,sad,0.43
t1,2026-03-07 22:45:55.329,neutral,0.48
t1,2026-03-07 22:45:55.387,neutral,0.38
t1,2026-03-07 22:45:55.448,sad,0.39
t1,2026-03-07 22:45:55.499,fear,0.36
t1,2026-03-07 22:45:55.555,neutral,0.33
t1,2026-03-07 22:45:55.607,sad,0.44
t1,2026-03-07 22:45:55.657,sad,0.5
t1,2026-03-07 22:45:55.708,fear,0.35
t1,2026-03-07 22:45:55.758,neutral,0.43
t1,2026-03-07 22:45:55.808,sad,0.33
t1,2026-03-07 22:45:55.859,neutral,0.47
t1,2026-03-07 22:45:55.909,sad,0.38
t1,2026-03-07 22:45:55.958,neutral,0.34
t1,2026-03-07 22:45:56.007,sad,0.47
t1,2026-03-07 22:45:56.074,neutral,0.43
t1,2026-03-07 22:45:56.131,neutral,0.48
t1,2026-03-07 22:45:56.181,fear,0.46
t1,2026-03-07 22:45:56.227,sad,0.33
t1,2026-03-07 22:45:56.292,neutral,0.41
t1,2026-03-07 22:45:56.345,sad,0.39
t1,2026-03-07 22:45:56.400,sad,0.37
t1,2026-03-07 22:45:56.458,neutral,0.38
t1,2026-03-07 22:45:56.514,fear,0.33
t1,2026-03-07 22:45:56.563,sad,0.37
t1,2026-03-07 22:45:56.611,sad,0.51
t1,2026-03-07 22:45:56.662,neutral,0.69
t1,2026-03-07 22:45:56.716,neutral,0.38
t1,2026-03-07 22:45:56.764,sad,0.38
t1,2026-03-07 22:45:56.813,sad,0.46
t1,2026-03-07 22:45:56.867,neutral,0.37
t1,2026-03-07 22:45:56.918,neutral,0.32
t1,2026-03-07 22:45:56.968,fear,0.42
t1,2026-03-07 22:45:57.019,sad,0.32
t1,2026-03-07 22:45:57.069,neutral,0.29
t1,2026-03-07 22:45:57.123,sad,0.39
t1,2026-03-07 22:45:57.174,neutral,0.57
t1,2026-03-07 22:45:57.225,sad,0.48
t1,2026-03-07 22:45:57.273,sad,0.32
t1,2026-03-07 22:45:57.330,sad,0.44
t1,2026-03-07 22:45:57.386,neutral,0.44
t1,2026-03-07 22:45:57.439,sad,0.39
t1,2026-03-07 22:45:57.488,fear,0.3
t1,2026-03-07 22:45:57.540,neutral,0.39
t1,2026-03-07 22:45:57.586,sad,0.35
t1,2026-03-07 22:45:57.634,sad,0.46
t1,2026-03-07 22:45:57.690,fear,0.51
t1,2026-03-07 22:45:57.742,sad,0.5
t1,2026-03-07 22:45:57.800,neutral,0.5
t1,2026-03-07 22:45:57.852,neutral,0.43
t1,2026-03-07 22:45:57.913,sad,0.42
t1,2026-03-07 22:45:57.964,sad,0.41
t1,2026-03-07 22:45:58.018,sad,0.35
t1,2026-03-07 22:45:58.075,sad,0.36
t1,2026-03-07 22:45:58.129,sad,0.49
t1,2026-03-07 22:45:58.186,neutral,0.53
t1,2026-03-07 22:45:58.237,sad,0.47
t1,2026-03-07 22:45:58.293,sad,0.39
t1,2026-03-07 22:45:58.355,sad,0.42
t1,2026-03-07 22:45:58.406,sad,0.31
t1,2026-03-07 22:45:58.457,neutral,0.36
t1,2026-03-07 22:45:58.509,sad,0.43
t1,2026-03-07 22:45:58.564,neutral,0.46
t1,2026-03-07 22:45:58.629,neutral,0.44
t1,2026-03-07 22:45:58.702,neutral,0.42
t1,2026-03-07 22:45:58.774,sad,0.44
t1,2026-03-07 22:45:58.841,sad,0.58
t1,2026-03-07 22:45:58.900,sad,0.47
t1,2026-03-07 22:45:58.964,sad,0.53
t1,2026-03-07 22:45:59.025,sad,0.5
t1,2026-03-07 22:45:59.078,sad,0.36
t1,2026-03-07 22:45:59.134,sad,0.5
t1,2026-03-07 22:45:59.193,sad,0.48
t1,2026-03-07 22:45:59.257,neutral,0.44
t1,2026-03-07 22:45:59.314,sad,0.56
t1,2026-03-07 22:45:59.367,neutral,0.56
t1,2026-03-07 22:45:59.417,neutral,0.63
t1,2026-03-07 22:45:59.473,sad,0.57
t1,2026-03-07 22:45:59.524,sad,0.52
t1,2026-03-07 22:45:59.580,sad,0.65
t1,2026-03-07 22:45:59.633,sad,0.59
t1,2026-03-07 22:45:59.684,sad,0.49
t1,2026-03-07 22:45:59.739,sad,0.54
t1,2026-03-07 22:45:59.794,sad,0.63
t1,2026-03-07 22:45:59.850,sad,0.46
t1,2026-03-07 22:45:59.907,sad,0.54
t1,2026-03-07 22:45:59.960,neutral,0.58
t1,2026-03-07 22:46:00.011,neutral,0.43
t1,2026-03-07 22:46:00.066,angry,0.69
t1,2026-03-07 22:46:00.118,angry,0.78
t1,2026-03-07 22:46:00.169,angry,0.41
t1,2026-03-07 22:46:00.222,angry,0.65
t1,2026-03-07 22:46:00.275,angry,0.33
t1,2026-03-07 22:46:00.332,angry,0.36
t1,2026-03-07 22:46:00.383,sad,0.3
t1,2026-03-07 22:46:00.436,sad,0.55
t1,2026-03-07 22:46:00.489,sad,0.56
t1,2026-03-07 22:46:00.543,sad,0.54
t1,2026-03-07 22:46:00.593,sad,0.5
t1,2026-03-07 22:46:00.647,sad,0.59
t1,2026-03-07 22:46:00.702,neutral,0.6
t1,2026-03-07 22:46:00.763,neutral,0.9
t1,2026-03-07 22:46:00.824,neutral,0.9
t1,2026-03-07 22:46:00.824,sad,0.53
t1,2026-03-07 22:46:00.891,neutral,0.9
t1,2026-03-07 22:46:00.951,neutral,0.91
t1,2026-03-07 22:46:01.126,neutral,0.87
t1,2026-03-07 22:46:01.190,neutral,0.92
t1,2026-03-07 22:46:01.244,neutral,0.8
t1,2026-03-07 22:46:01.302,neutral,0.92
t1,2026-03-07 22:46:01.354,neutral,0.82
t1,2026-03-07 22:46:01.409,neutral,0.88
t1,2026-03-07 22:46:01.463,neutral,0.9
t1,2026-03-07 22:46:01.512,neutral,0.67
t1,2026-03-07 22:46:01.569,neutral,0.66
t1,2026-03-07 22:46:01.629,neutral,0.79
t1,2026-03-07 22:46:01.682,neutral,0.93
t1,2026-03-07 22:46:01.735,neutral,0.92
t1,2026-03-07 22:46:01.786,neutral,0.9
t1,2026-03-07 22:46:01.846,neutral,0.93
t1,2026-03-07 22:46:01.915,neutral,0.9
t1,2026-03-07 22:46:01.976,neutral,0.79
t1,2026-03-07 22:46:02.031,neutral,0.95
t1,2026-03-07 22:46:02.085,neutral,0.95
t1,2026-03-07 22:46:02.145,neutral,0.87
t1,2026-03-07 22:46:02.200,neutral,0.87
t1,2026-03-07 22:46:02.256,neutral,0.9
t1,2026-03-07 22:46:02.322,neutral,0.84
t1,2026-03-07 22:46:02.389,neutral,0.79
t1,2026-03-07 22:46:02.462,neutral,0.79
t1,2026-03-07 22:46:02.534,neutral,0.78
t1,2026-03-07 22:46:02.613,neutral,0.79
t1,2026-03-07 22:46:02.687,neutral,0.82
t1,2026-03-07 22:46:02.759,neutral,0.95
t1,2026-03-07 22:46:02.901,neutral,0.92
t1,2026-03-07 22:46:03.011,neutral,0.95
t1,2026-03-07 22:46:03.066,neutral,0.93
t1,2026-03-07 22:46:03.126,neutral,0.89
t1,2026-03-07 22:46:03.183,neutral,0.82
t1,2026-03-07 22:46:03.237,neutral,0.92
t1,2026-03-07 22:46:03.290,neutral,0.82
t1,2026-03-07 22:46:03.345,neutral,0.93
t1,2026-03-07 22:46:03.405,neutral,0.81
t1,2026-03-07 22:46:03.479,neutral,0.9
t1,2026-03-07 22:46:03.551,neutral,0.84
t1,2026-03-07 22:46:03.616,neutral,0.81
t1,2026-03-07 22:46:03.678,neutral,0.86
t1,2026-03-07 22:46:03.737,neutral,0.92
t1,2026-03-07 22:46:03.795,neutral,0.83
t1,2026-03-07 22:46:03.853,neutral,0.86
t1,2026-03-07 22:46:03.907,neutral,0.9
t1,2026-03-07 22:46:03.957,neutral,0.87
t1,2026-03-07 22:46:04.009,neutral,0.88
t1,2026-03-07 22:46:04.057,neutral,0.82
t1,2026-03-07 22:46:04.107,neutral,0.9
t1,2026-03-07 22:46:04.153,neutral,0.87
t1,2026-03-07 22:46:04.208,neutral,0.8
t1,2026-03-07 22:46:04.266,neutral,0.74
t1,2026-03-07 22:46:04.315,neutral,0.54
t1,2026-03-07 22:46:04.360,neutral,0.7
t1,2026-03-07 22:46:04.410,neutral,0.71
